file,application_id,application_name,environment,components,vulnerabilities,size_bytes,serial_number,timestamp
sbom/APP-0019_production_cyclonedx.json,APP-0019,KYC Service,production,57,14,45617,urn:uuid:aa93174e-23d1-4ad8-a315-086db7bf9ff4,2026-08-14T17:33:15Z
sbom/APP-0019_preproduction_cyclonedx.json,APP-0019,KYC Service,preproduction,76,19,59840,urn:uuid:9d4994ec-102d-4013-b2b9-1576caba751a,2026-08-15T17:33:15Z
sbom/APP-0020_production_cyclonedx.json,APP-0020,Document Signature,production,71,29,65436,urn:uuid:7d6a08db-277e-4aa3-acee-846dc339c4d4,2026-08-24T17:33:15Z
sbom/APP-0020_preproduction_cyclonedx.json,APP-0020,Document Signature,preproduction,67,21,55039,urn:uuid:e4f44134-2a81-48c1-a1cd-7b1a8394d34e,2026-08-18T17:33:15Z
sbom/APP-0021_production_cyclonedx.json,APP-0021,Claims Portal,production,50,15,43676,urn:uuid:08458317-2b0c-44aa-b624-a5d8930457b5,2026-08-24T17:33:15Z
sbom/APP-0021_preproduction_cyclonedx.json,APP-0021,Claims Portal,preproduction,79,11,52641,urn:uuid:351990db-81e1-4437-b69b-10ca2ed21bb0,2026-08-21T17:33:15Z
sbom/APP-0022_production_cyclonedx.json,APP-0022,Partner Gateway,production,78,19,57432,urn:uuid:ea9edc6a-da37-430c-95f9-f73c7d8c0e82,2026-08-17T17:33:15Z
sbom/APP-0022_preproduction_cyclonedx.json,APP-0022,Partner Gateway,preproduction,67,21,54817,urn:uuid:ccbb429a-e159-447d-abf1-28ab2af0767c,2026-08-19T17:33:15Z
sbom/APP-0023_production_cyclonedx.json,APP-0023,Treasury,production,79,26,65410,urn:uuid:46218c0e-1e6b-467c-ad36-3db1a6acc8f0,2026-08-18T17:33:15Z
sbom/APP-0023_preproduction_cyclonedx.json,APP-0023,Treasury,preproduction,51,14,40537,urn:uuid:e8c62615-4d70-4154-8182-51b0f4fbce8e,2026-08-18T17:33:15Z
sbom/APP-0024_production_cyclonedx.json,APP-0024,Risk Engine,production,79,17,62067,urn:uuid:6ac5a7a0-dcbd-4117-bf9f-bfeea8aa3046,2026-08-25T17:33:15Z
sbom/APP-0024_preproduction_cyclonedx.json,APP-0024,Risk Engine,preproduction,53,11,42451,urn:uuid:896bee35-365a-4e94-92da-230cba3ae463,2026-08-25T17:33:15Z
sbom/APP-0025_production_cyclonedx.json,APP-0025,Customer 360,production,51,14,40527,urn:uuid:889ab46c-6970-4e47-9945-11a98eeb8ea6,2026-08-20T17:33:15Z
sbom/APP-0025_preproduction_cyclonedx.json,APP-0025,Customer 360,preproduction,74,19,56116,urn:uuid:30aa9343-0809-45d3-9719-5231305155fd,2026-08-20T17:33:15Z
sbom/APP-0026_production_cyclonedx.json,APP-0026,Consent Management,production,75,30,67821,urn:uuid:fa4c47dc-abe8-48ac-8591-f713eecc02c6,2026-08-18T17:33:15Z
sbom/APP-0026_preproduction_cyclonedx.json,APP-0026,Consent Management,preproduction,79,19,58027,urn:uuid:79b9e4a1-d6cb-4774-bf6b-81863847c76a,2026-08-17T17:33:15Z
sbom/APP-0027_production_cyclonedx.json,APP-0027,Archive Service,production,59,20,53105,urn:uuid:26a19e11-5b19-4f3c-be0f-3ef278759fcb,2026-08-25T17:33:15Z
sbom/APP-0027_preproduction_cyclonedx.json,APP-0027,Archive Service,preproduction,75,17,57738,urn:uuid:02149960-92cd-458e-8a3e-f4dba10cc330,2026-08-13T17:33:15Z
sbom/APP-0028_production_cyclonedx.json,APP-0028,Marketing Automation,production,61,23,54695,urn:uuid:466b2fca-62df-4d5f-82c7-4ee4a16234ae,2026-08-15T17:33:15Z
sbom/APP-0028_preproduction_cyclonedx.json,APP-0028,Marketing Automation,preproduction,58,10,39173,urn:uuid:8be8e05b-3533-44c3-9f87-19d54c87cd75,2026-08-22T17:33:15Z
sbom/APP-0029_production_cyclonedx.json,APP-0029,Loan Origination,production,62,26,63980,urn:uuid:30241216-6817-4a31-b34a-9b61eb677102,2026-08-17T17:33:15Z
sbom/APP-0029_preproduction_cyclonedx.json,APP-0029,Loan Origination,preproduction,67,20,59471,urn:uuid:92c84faf-09a8-4d9b-97fa-4c53fdd124e0,2026-08-20T17:33:15Z
sbom/APP-0030_production_cyclonedx.json,APP-0030,Card Authorization,production,56,14,42620,urn:uuid:a036d54b-c7ac-43a9-a2e7-46d1da22f6fb,2026-08-23T17:33:15Z
sbom/APP-0030_preproduction_cyclonedx.json,APP-0030,Card Authorization,preproduction,51,16,42692,urn:uuid:c24918f9-3131-4159-a795-ccf49087c98c,2026-08-25T17:33:15Z
