finding_id,application_id,application_name,environment,cve,component_ref,cvss,epss,internet_exposed,runtime_reachable,business_criticality,concert_like_risk_score,suggested_priority,status,scanner
FND-000014,APP-0001,Paiements SEPA,production,CVE-2024-21626,pkg:golang/github.com/gin-gonic/gin@9.18.0?instance=43,7.2,0.2286,False,True,Medium,7.2,P2,Open,SyntheticScanner
FND-000015,APP-0001,Paiements SEPA,production,CVE-2024-3094,pkg:golang/github.com/spf13/viper@4.17.9?instance=7,9.7,0.1952,False,True,Medium,9.6,P1,Open,SyntheticScanner
FND-000016,APP-0001,Paiements SEPA,production,CVE-2025-32463,pkg:golang/google.golang.org/grpc@2.9.10?instance=46,6.9,0.269,False,True,Medium,7.1,P2,Open,SyntheticScanner
FND-000017,APP-0001,Paiements SEPA,production,CVE-2026-21401,pkg:golang/github.com/prometheus/client_golang@1.3.4?instance=8,7.0,0.3576,False,True,Medium,7.5,P1,Open,SyntheticScanner
FND-000018,APP-0001,Paiements SEPA,production,CVE-2025-24813,pkg:golang/go.uber.org/zap@9.11.2?instance=19,5.6,0.2809,False,False,Medium,3.9,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000019,APP-0001,Paiements SEPA,production,CVE-2024-3094,pkg:golang/go.uber.org/zap@7.1.0?instance=28,4.3,0.3118,False,True,Medium,4.5,P3,Open,SyntheticScanner
FND-000020,APP-0001,Paiements SEPA,production,CVE-2021-44228,pkg:golang/golang.org/x/crypto@6.3.2?instance=25,4.9,0.528,False,True,Medium,5.8,P2,Open,SyntheticScanner
FND-000021,APP-0001,Paiements SEPA,production,CVE-2025-24813,pkg:golang/github.com/spf13/viper@7.14.1?instance=17,5.1,0.3037,False,True,Medium,5.3,P2,Open,SyntheticScanner
FND-000022,APP-0001,Paiements SEPA,preproduction,CVE-2024-3094,pkg:golang/github.com/spf13/viper@8.3.12?instance=44,9.1,0.4173,False,True,Medium,10,P1,Open,SyntheticScanner
FND-000023,APP-0001,Paiements SEPA,preproduction,CVE-2024-3094,pkg:golang/go.uber.org/zap@3.7.9?instance=11,8.9,0.6612,False,False,Medium,7.5,P1,Accepted - dead/unreachable code,SyntheticScanner
FND-000024,APP-0001,Paiements SEPA,preproduction,CVE-2025-24813,pkg:golang/google.golang.org/grpc@1.17.5?instance=55,5.9,0.0702,False,False,Medium,3.6,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000025,APP-0001,Paiements SEPA,preproduction,CVE-2026-21401,pkg:golang/google.golang.org/grpc@9.3.1?instance=24,5.3,0.2603,False,True,Medium,5.4,P2,Open,SyntheticScanner
FND-000026,APP-0001,Paiements SEPA,preproduction,CVE-2021-44228,pkg:golang/google.golang.org/grpc@5.4.11?instance=34,9.8,0.2083,False,True,Medium,9.7,P1,Open,SyntheticScanner
FND-000027,APP-0001,Paiements SEPA,preproduction,CVE-2025-29927,pkg:golang/github.com/gin-gonic/gin@9.1.1?instance=42,5.3,0.0102,False,False,Medium,3.1,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000028,APP-0001,Paiements SEPA,preproduction,CVE-2021-44228,pkg:golang/github.com/go-sql-driver/mysql@3.2.11?instance=36,9.0,0.401,False,False,Medium,6.6,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000029,APP-0001,Paiements SEPA,preproduction,CVE-2024-21626,pkg:golang/golang.org/x/crypto@9.1.12?instance=27,7.9,0.5722,False,True,Medium,9.5,P1,Open,SyntheticScanner
FND-000030,APP-0001,Paiements SEPA,preproduction,CVE-2025-32463,pkg:golang/golang.org/x/crypto@7.4.10?instance=19,6.5,0.1817,False,False,Medium,4.3,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000031,APP-0001,Paiements SEPA,preproduction,CVE-2025-32463,pkg:golang/golang.org/x/crypto@4.18.4?instance=9,9.6,0.4321,False,False,Medium,7.2,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000032,APP-0001,Paiements SEPA,preproduction,CVE-2024-21626,pkg:golang/golang.org/x/crypto@5.3.0?instance=40,4.3,0.0418,False,False,Medium,2.6,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000033,APP-0002,Portail Client,production,CVE-2022-22965,pkg:pypi/jinja2@7.0.4?instance=58,6.7,0.1527,False,False,Medium,4.3,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000034,APP-0002,Portail Client,production,CVE-2024-3094,pkg:pypi/flask@5.17.7?instance=8,7.1,0.5906,False,True,Medium,8.6,P1,Open,SyntheticScanner
FND-000035,APP-0002,Portail Client,production,CVE-2024-21626,pkg:pypi/numpy@6.17.6?instance=47,4.1,0.4708,False,True,Medium,4.7,P3,Open,SyntheticScanner
FND-000036,APP-0002,Portail Client,production,CVE-2025-32463,pkg:pypi/requests@3.2.5?instance=37,5.3,0.0301,False,True,Medium,4.7,P3,Open,SyntheticScanner
FND-000037,APP-0002,Portail Client,production,CVE-2022-22965,pkg:pypi/urllib3@2.4.8?instance=39,4.4,0.4161,False,True,Medium,4.9,P3,Open,SyntheticScanner
FND-000038,APP-0002,Portail Client,production,CVE-2024-21626,pkg:pypi/flask@6.2.4?instance=52,5.3,0.2027,False,False,Medium,3.5,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000039,APP-0002,Portail Client,production,CVE-2025-29927,pkg:pypi/flask@9.10.8?instance=15,4.2,0.5597,False,False,Medium,3.4,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000040,APP-0002,Portail Client,production,CVE-2025-24813,pkg:pypi/flask@6.3.9?instance=19,8.1,0.1822,False,True,Medium,7.9,P1,Open,SyntheticScanner
FND-000041,APP-0002,Portail Client,production,CVE-2025-32463,pkg:pypi/pyyaml@1.1.1?instance=16,8.0,0.4356,False,True,Medium,9.0,P1,Open,SyntheticScanner
FND-000042,APP-0002,Portail Client,production,CVE-2021-44228,pkg:pypi/pyyaml@4.12.2?instance=43,4.4,0.497,False,False,Medium,3.4,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000043,APP-0002,Portail Client,production,CVE-2021-44228,pkg:pypi/cryptography@8.9.7?instance=42,9.3,0.1547,False,True,Medium,9.0,P1,Open,SyntheticScanner
FND-000044,APP-0002,Portail Client,production,CVE-2025-24813,pkg:pypi/numpy@7.4.0?instance=10,5.7,0.6662,False,True,Medium,7.1,P2,Open,SyntheticScanner
FND-000045,APP-0002,Portail Client,production,CVE-2023-44487,pkg:pypi/pyyaml@4.18.10?instance=24,5.8,0.1229,False,True,Medium,5.5,P2,Open,SyntheticScanner
FND-000046,APP-0002,Portail Client,production,CVE-2026-21401,pkg:pypi/cryptography@8.11.1?instance=61,8.7,0.4336,False,True,Medium,9.8,P1,Open,SyntheticScanner
FND-000047,APP-0002,Portail Client,production,CVE-2026-21401,pkg:pypi/cryptography@7.7.8?instance=50,8.3,0.4307,False,False,Medium,6.2,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000048,APP-0002,Portail Client,production,CVE-2023-38545,pkg:pypi/cryptography@9.19.7?instance=21,8.3,0.1641,False,False,Medium,5.4,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000049,APP-0002,Portail Client,production,CVE-2025-29927,pkg:pypi/pyyaml@3.19.11?instance=34,6.1,0.0585,False,True,Medium,5.5,P2,Open,SyntheticScanner
FND-000050,APP-0002,Portail Client,production,CVE-2023-44487,pkg:pypi/pyyaml@3.19.11?instance=34,5.5,0.4194,False,False,Medium,4.1,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000051,APP-0002,Portail Client,production,CVE-2025-29927,pkg:pypi/requests@7.9.7?instance=41,8.1,0.5546,False,False,Medium,6.5,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000052,APP-0002,Portail Client,production,CVE-2024-3094,pkg:pypi/pyyaml@4.18.10?instance=24,9.7,0.6718,False,True,Medium,10,P1,Open,SyntheticScanner
FND-000053,APP-0002,Portail Client,production,CVE-2025-24813,pkg:pypi/urllib3@4.15.12?instance=5,5.8,0.5958,False,True,Medium,7.0,P2,Open,SyntheticScanner
FND-000054,APP-0002,Portail Client,production,CVE-2024-3094,pkg:pypi/pyyaml@4.12.2?instance=43,4.3,0.234,False,False,Medium,2.9,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000055,APP-0002,Portail Client,preproduction,CVE-2023-38545,pkg:pypi/jinja2@4.10.1?instance=37,6.4,0.4753,False,True,Medium,7.3,P2,Open,SyntheticScanner
FND-000056,APP-0002,Portail Client,preproduction,CVE-2024-3094,pkg:pypi/django@1.15.2?instance=6,9.9,0.0243,False,False,Medium,5.9,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000057,APP-0002,Portail Client,preproduction,CVE-2023-44487,pkg:pypi/urllib3@9.6.12?instance=44,7.0,0.2388,False,False,Medium,4.7,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000058,APP-0002,Portail Client,preproduction,CVE-2022-22965,pkg:pypi/numpy@2.12.9?instance=24,8.1,0.5594,False,False,Medium,6.5,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000059,APP-0002,Portail Client,preproduction,CVE-2025-32463,pkg:pypi/flask@2.14.1?instance=36,9.5,0.2902,False,True,Medium,9.9,P1,Open,SyntheticScanner
FND-000060,APP-0002,Portail Client,preproduction,CVE-2022-22965,pkg:pypi/urllib3@9.6.12?instance=44,7.5,0.076,False,False,Medium,4.6,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000061,APP-0002,Portail Client,preproduction,CVE-2025-29927,pkg:pypi/urllib3@9.14.10?instance=49,7.8,0.1715,False,False,Medium,5.1,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000062,APP-0002,Portail Client,preproduction,CVE-2022-22965,pkg:pypi/cryptography@6.15.3?instance=23,8.1,0.1336,False,False,Medium,5.2,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000063,APP-0002,Portail Client,preproduction,CVE-2022-22965,pkg:pypi/cryptography@6.15.3?instance=23,5.2,0.0906,False,True,Medium,4.8,P3,Open,SyntheticScanner
FND-000064,APP-0002,Portail Client,preproduction,CVE-2024-3094,pkg:pypi/cryptography@1.7.4?instance=5,7.5,0.2767,False,False,Medium,5.2,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000065,APP-0002,Portail Client,preproduction,CVE-2025-24813,pkg:pypi/urllib3@9.6.12?instance=44,8.6,0.1377,False,False,Medium,5.5,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000066,APP-0002,Portail Client,preproduction,CVE-2023-44487,pkg:pypi/jinja2@5.2.9?instance=29,6.4,0.6625,False,True,Medium,8.0,P1,Open,SyntheticScanner
FND-000067,APP-0002,Portail Client,preproduction,CVE-2021-44228,pkg:pypi/flask@8.18.9?instance=22,5.7,0.1834,False,True,Medium,5.6,P2,Open,SyntheticScanner
FND-000068,APP-0002,Portail Client,preproduction,CVE-2024-3094,pkg:pypi/numpy@5.2.0?instance=17,9.8,0.2474,False,True,Medium,10.0,P1,Open,SyntheticScanner
FND-000069,APP-0002,Portail Client,preproduction,CVE-2025-32463,pkg:pypi/pyyaml@8.5.11?instance=0,4.6,0.2199,False,True,Medium,4.6,P3,Open,SyntheticScanner
FND-000070,APP-0003,API Sinistres,production,CVE-2023-38545,pkg:pypi/jinja2@2.8.11?instance=45,5.3,0.2249,False,True,Critical,6.6,P2,Open,SyntheticScanner
FND-000071,APP-0003,API Sinistres,production,CVE-2023-44487,pkg:pypi/cryptography@9.6.5?instance=20,8.6,0.0483,False,False,Critical,6.5,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000072,APP-0003,API Sinistres,production,CVE-2024-3094,pkg:pypi/urllib3@5.8.11?instance=22,9.5,0.2541,False,True,Critical,10,P1,Open,SyntheticScanner
FND-000073,APP-0003,API Sinistres,production,CVE-2025-32463,pkg:pypi/urllib3@2.10.8?instance=4,7.3,0.2917,True,True,Critical,10,P1,Open,SyntheticScanner
FND-000074,APP-0003,API Sinistres,production,CVE-2025-32463,pkg:pypi/numpy@2.14.7?instance=42,4.2,0.0409,False,True,Critical,4.7,P3,Open,SyntheticScanner
FND-000075,APP-0003,API Sinistres,production,CVE-2023-44487,pkg:pypi/cryptography@5.2.6?instance=6,9.7,0.2951,False,False,Critical,8.5,P1,Accepted - dead/unreachable code,SyntheticScanner
FND-000076,APP-0003,API Sinistres,production,CVE-2023-44487,pkg:pypi/numpy@2.14.7?instance=42,8.2,0.3304,True,True,Critical,10,P1,Open,SyntheticScanner
FND-000077,APP-0003,API Sinistres,production,CVE-2022-22965,pkg:pypi/urllib3@5.13.1?instance=8,4.8,0.0131,True,True,Critical,6.8,P2,Open,SyntheticScanner
FND-000078,APP-0003,API Sinistres,production,CVE-2025-29927,pkg:pypi/cryptography@3.10.11?instance=29,4.6,0.3438,False,False,Critical,4.1,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000079,APP-0003,API Sinistres,production,CVE-2025-24813,pkg:pypi/numpy@9.17.7?instance=36,9.6,0.4218,False,False,Critical,9.0,P1,Accepted - dead/unreachable code,SyntheticScanner
FND-000080,APP-0003,API Sinistres,production,CVE-2022-22965,pkg:pypi/flask@6.2.2?instance=3,4.8,0.1053,True,True,Critical,7.2,P2,Open,SyntheticScanner
FND-000081,APP-0003,API Sinistres,production,CVE-2021-44228,pkg:pypi/urllib3@2.11.4?instance=27,8.9,0.115,False,False,Critical,7.0,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000082,APP-0003,API Sinistres,production,CVE-2023-44487,pkg:pypi/flask@2.19.8?instance=23,5.3,0.0282,True,True,Critical,7.6,P1,Open,SyntheticScanner
FND-000083,APP-0003,API Sinistres,production,CVE-2025-32463,pkg:pypi/django@5.5.3?instance=19,9.0,0.0251,True,True,Critical,10,P1,Open,SyntheticScanner
FND-000084,APP-0003,API Sinistres,production,CVE-2021-44228,pkg:pypi/urllib3@9.2.0?instance=2,5.3,0.1991,True,True,Critical,8.4,P1,Open,SyntheticScanner
FND-000085,APP-0003,API Sinistres,preproduction,CVE-2021-44228,pkg:pypi/pyyaml@8.4.12?instance=53,9.8,0.5313,False,True,Critical,10,P1,Open,SyntheticScanner
FND-000086,APP-0003,API Sinistres,preproduction,CVE-2024-21626,pkg:pypi/urllib3@6.9.10?instance=18,4.3,0.5693,False,True,Critical,6.4,P2,Open,SyntheticScanner
FND-000087,APP-0003,API Sinistres,preproduction,CVE-2023-44487,pkg:pypi/urllib3@1.5.12?instance=20,9.6,0.086,False,True,Critical,10,P1,Open,SyntheticScanner
FND-000088,APP-0003,API Sinistres,preproduction,CVE-2026-21401,pkg:pypi/numpy@9.15.12?instance=24,6.2,0.5416,False,False,Critical,6.1,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000089,APP-0003,API Sinistres,preproduction,CVE-2022-22965,pkg:pypi/cryptography@5.9.10?instance=34,4.6,0.3084,True,True,Critical,7.7,P1,Open,SyntheticScanner
FND-000090,APP-0003,API Sinistres,preproduction,CVE-2022-22965,pkg:pypi/requests@7.19.3?instance=50,4.7,0.0475,True,True,Critical,6.8,P2,Open,SyntheticScanner
FND-000091,APP-0003,API Sinistres,preproduction,CVE-2023-38545,pkg:pypi/django@9.10.8?instance=43,9.7,0.2806,False,True,Critical,10,P1,Open,SyntheticScanner
FND-000092,APP-0003,API Sinistres,preproduction,CVE-2024-3094,pkg:pypi/numpy@8.12.5?instance=39,9.3,0.0823,True,True,Critical,10,P1,Open,SyntheticScanner
FND-000093,APP-0003,API Sinistres,preproduction,CVE-2024-3094,pkg:pypi/numpy@7.7.0?instance=47,6.9,0.1002,True,True,Critical,10,P1,Open,SyntheticScanner
FND-000094,APP-0003,API Sinistres,preproduction,CVE-2025-29927,pkg:pypi/flask@7.13.2?instance=60,7.6,0.1248,True,True,Critical,10,P1,Open,SyntheticScanner
FND-000095,APP-0004,Mobile Banking,production,CVE-2021-44228,pkg:maven/org.apache.logging.log4j/log4j-core@8.17.6?instance=4,5.0,0.4053,False,False,High,4.1,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000096,APP-0004,Mobile Banking,production,CVE-2026-21401,pkg:maven/io.netty/netty-handler@7.13.5?instance=14,7.8,0.2717,False,False,High,6.0,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000097,APP-0004,Mobile Banking,production,CVE-2021-44228,pkg:maven/org.apache.commons/commons-text@1.20.1?instance=50,9.9,0.1328,True,True,High,10,P1,Open,SyntheticScanner
FND-000098,APP-0004,Mobile Banking,production,CVE-2025-24813,pkg:maven/org.hibernate/hibernate-core@6.9.6?instance=40,9.4,0.1362,False,True,High,10,P1,Open,SyntheticScanner
FND-000099,APP-0004,Mobile Banking,production,CVE-2023-44487,pkg:maven/org.yaml/snakeyaml@9.15.7?instance=36,6.1,0.1909,True,True,High,8.6,P1,Open,SyntheticScanner
FND-000100,APP-0004,Mobile Banking,production,CVE-2021-44228,pkg:maven/org.postgresql/postgresql@7.0.7?instance=29,7.8,0.738,False,True,High,10,P1,Open,SyntheticScanner
FND-000101,APP-0004,Mobile Banking,production,CVE-2021-44228,pkg:maven/org.hibernate/hibernate-core@2.18.7?instance=16,7.6,0.5928,False,False,High,6.9,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000102,APP-0004,Mobile Banking,production,CVE-2025-24813,pkg:maven/org.apache.commons/commons-text@6.14.12?instance=15,9.6,0.0532,False,True,High,9.7,P1,Open,SyntheticScanner
FND-000103,APP-0004,Mobile Banking,production,CVE-2021-44228,pkg:maven/org.yaml/snakeyaml@3.8.7?instance=34,7.1,0.0573,True,True,High,9.3,P1,Open,SyntheticScanner
FND-000104,APP-0004,Mobile Banking,production,CVE-2026-21401,pkg:maven/org.apache.logging.log4j/log4j-core@6.7.12?instance=5,9.1,0.0424,False,False,High,6.1,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000105,APP-0004,Mobile Banking,production,CVE-2022-22965,pkg:maven/org.springframework/spring-core@2.3.4?instance=32,5.7,0.0116,True,True,High,7.2,P2,Open,SyntheticScanner
FND-000106,APP-0004,Mobile Banking,production,CVE-2023-38545,pkg:maven/org.apache.commons/commons-text@1.11.0?instance=18,5.0,0.4067,False,False,High,4.1,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000107,APP-0004,Mobile Banking,production,CVE-2026-21401,pkg:maven/org.hibernate/hibernate-core@2.18.7?instance=16,8.9,0.2379,True,True,High,10,P1,Open,SyntheticScanner
FND-000108,APP-0004,Mobile Banking,production,CVE-2025-32463,pkg:maven/org.apache.logging.log4j/log4j-core@8.17.6?instance=4,9.0,0.1277,True,True,High,10,P1,Open,SyntheticScanner
FND-000109,APP-0004,Mobile Banking,production,CVE-2022-22965,pkg:maven/org.apache.commons/commons-text@8.10.7?instance=52,5.6,0.0387,False,True,High,5.6,P2,Open,SyntheticScanner
FND-000110,APP-0004,Mobile Banking,production,CVE-2024-3094,pkg:maven/org.springframework/spring-core@2.3.4?instance=32,5.0,0.0145,False,False,High,3.3,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000111,APP-0004,Mobile Banking,production,CVE-2025-29927,pkg:maven/org.yaml/snakeyaml@1.10.10?instance=2,6.6,0.1871,True,True,High,9.3,P1,Open,SyntheticScanner
FND-000112,APP-0004,Mobile Banking,production,CVE-2024-3094,pkg:maven/org.apache.logging.log4j/log4j-core@7.7.12?instance=38,9.5,0.3143,False,True,High,10,P1,Open,SyntheticScanner
FND-000113,APP-0004,Mobile Banking,production,CVE-2024-3094,pkg:maven/org.springframework/spring-core@2.3.4?instance=32,8.7,0.4703,False,False,High,7.5,P1,Accepted - dead/unreachable code,SyntheticScanner
FND-000114,APP-0004,Mobile Banking,production,CVE-2024-21626,pkg:maven/org.apache.commons/commons-text@5.0.5?instance=10,8.8,0.31,False,False,High,6.9,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000115,APP-0004,Mobile Banking,production,CVE-2025-32463,pkg:maven/org.apache.commons/commons-text@1.20.1?instance=50,6.7,0.1445,True,True,High,9.2,P1,Open,SyntheticScanner
FND-000116,APP-0004,Mobile Banking,production,CVE-2021-44228,pkg:maven/org.hibernate/hibernate-core@8.5.4?instance=30,4.8,0.1161,False,True,High,5.1,P2,Open,SyntheticScanner
FND-000117,APP-0004,Mobile Banking,production,CVE-2025-29927,pkg:maven/org.yaml/snakeyaml@4.13.3?instance=25,5.8,0.0904,False,True,High,6.0,P2,Open,SyntheticScanner
FND-000118,APP-0004,Mobile Banking,production,CVE-2025-24813,pkg:maven/org.apache.commons/commons-text@5.0.5?instance=10,5.8,0.2828,False,True,High,6.7,P2,Open,SyntheticScanner
FND-000119,APP-0004,Mobile Banking,production,CVE-2025-29927,pkg:maven/io.netty/netty-handler@1.0.2?instance=27,5.1,0.6218,True,True,High,9.0,P1,Open,SyntheticScanner
FND-000120,APP-0004,Mobile Banking,production,CVE-2023-38545,pkg:maven/org.postgresql/postgresql@8.12.5?instance=53,6.4,0.3913,False,False,High,5.3,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000121,APP-0004,Mobile Banking,production,CVE-2025-24813,pkg:maven/com.fasterxml.jackson.core/jackson-databind@7.10.12?instance=42,5.5,0.1194,True,True,High,7.5,P1,Open,SyntheticScanner
FND-000122,APP-0004,Mobile Banking,production,CVE-2025-32463,pkg:maven/org.apache.logging.log4j/log4j-core@8.13.1?instance=1,8.8,0.1368,True,True,High,10,P1,Open,SyntheticScanner
FND-000123,APP-0004,Mobile Banking,preproduction,CVE-2021-44228,pkg:maven/io.netty/netty-handler@9.7.5?instance=32,8.2,0.2244,False,False,High,6.2,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000124,APP-0004,Mobile Banking,preproduction,CVE-2025-24813,pkg:maven/org.springframework/spring-core@7.6.6?instance=27,6.4,0.1919,False,False,High,4.7,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000125,APP-0004,Mobile Banking,preproduction,CVE-2022-22965,pkg:maven/org.apache.commons/commons-text@2.3.10?instance=16,7.8,0.4636,False,True,High,9.9,P1,Open,SyntheticScanner
FND-000126,APP-0004,Mobile Banking,preproduction,CVE-2023-44487,pkg:maven/org.yaml/snakeyaml@3.16.4?instance=34,6.2,0.1948,False,False,High,4.6,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000127,APP-0004,Mobile Banking,preproduction,CVE-2023-44487,pkg:maven/org.apache.commons/commons-text@5.5.7?instance=23,8.1,0.0522,True,True,High,10,P1,Open,SyntheticScanner
FND-000128,APP-0004,Mobile Banking,preproduction,CVE-2022-22965,pkg:maven/com.fasterxml.jackson.core/jackson-databind@6.3.9?instance=3,4.5,0.4429,True,True,High,7.3,P2,Open,SyntheticScanner
FND-000129,APP-0004,Mobile Banking,preproduction,CVE-2022-22965,pkg:maven/com.fasterxml.jackson.core/jackson-databind@9.7.5?instance=45,9.0,0.3905,False,False,High,7.4,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000130,APP-0004,Mobile Banking,preproduction,CVE-2024-3094,pkg:maven/org.yaml/snakeyaml@2.13.6?instance=25,9.4,0.0317,False,False,High,6.3,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000131,APP-0004,Mobile Banking,preproduction,CVE-2023-44487,pkg:maven/org.apache.commons/commons-text@4.11.1?instance=47,5.1,0.3642,False,False,High,4.1,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000132,APP-0004,Mobile Banking,preproduction,CVE-2026-21401,pkg:maven/org.springframework/spring-core@2.0.3?instance=22,5.5,0.5587,False,False,High,4.9,P3,Accepted - dead/unreachable code,SyntheticScanner
FND-000133,APP-0004,Mobile Banking,preproduction,CVE-2024-3094,pkg:maven/com.fasterxml.jackson.core/jackson-databind@4.10.2?instance=26,9.3,0.2329,False,False,High,7.0,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000134,APP-0004,Mobile Banking,preproduction,CVE-2025-32463,pkg:maven/org.yaml/snakeyaml@2.12.9?instance=28,6.3,0.4823,True,True,High,10,P1,Open,SyntheticScanner
FND-000135,APP-0004,Mobile Banking,preproduction,CVE-2024-3094,pkg:maven/org.hibernate/hibernate-core@5.6.8?instance=31,9.2,0.3332,False,False,High,7.3,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000136,APP-0004,Mobile Banking,preproduction,CVE-2026-21401,pkg:maven/org.springframework/spring-core@9.0.8?instance=7,6.8,0.1818,False,False,High,5.0,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000137,APP-0004,Mobile Banking,preproduction,CVE-2023-44487,pkg:maven/org.yaml/snakeyaml@2.13.6?instance=25,8.7,0.1891,False,False,High,6.4,P2,Accepted - dead/unreachable code,SyntheticScanner
FND-000138,APP-0004,Mobile Banking,preproduction,CVE-2025-29927,pkg:maven/org.postgresql/postgresql@3.18.7?instance=8,5.3,0.2722,False,False,High,4.1,P3,Accepted - dead/unreachable code,SyntheticScanner
