file,application_id,application_name,environment,cyclonedx_version,components,vulnerabilities,serial_number,timestamp
APP-0022_preproduction_cyclonedx.json,APP-0022,Partner Gateway,preproduction,1.5,67,21,urn:uuid:ccbb429a-e159-447d-abf1-28ab2af0767c,2026-08-19T17:33:15Z
APP-0022_production_cyclonedx.json,APP-0022,Partner Gateway,production,1.5,78,19,urn:uuid:ea9edc6a-da37-430c-95f9-f73c7d8c0e82,2026-08-17T17:33:15Z
APP-0023_preproduction_cyclonedx.json,APP-0023,Treasury,preproduction,1.5,51,14,urn:uuid:e8c62615-4d70-4154-8182-51b0f4fbce8e,2026-08-18T17:33:15Z
APP-0023_production_cyclonedx.json,APP-0023,Treasury,production,1.5,79,26,urn:uuid:46218c0e-1e6b-467c-ad36-3db1a6acc8f0,2026-08-18T17:33:15Z
APP-0024_preproduction_cyclonedx.json,APP-0024,Risk Engine,preproduction,1.5,53,11,urn:uuid:896bee35-365a-4e94-92da-230cba3ae463,2026-08-25T17:33:15Z
APP-0024_production_cyclonedx.json,APP-0024,Risk Engine,production,1.5,79,17,urn:uuid:6ac5a7a0-dcbd-4117-bf9f-bfeea8aa3046,2026-08-25T17:33:15Z
APP-0025_preproduction_cyclonedx.json,APP-0025,Customer 360,preproduction,1.5,74,19,urn:uuid:30aa9343-0809-45d3-9719-5231305155fd,2026-08-20T17:33:15Z
APP-0025_production_cyclonedx.json,APP-0025,Customer 360,production,1.5,51,14,urn:uuid:889ab46c-6970-4e47-9945-11a98eeb8ea6,2026-08-20T17:33:15Z
APP-0026_preproduction_cyclonedx.json,APP-0026,Consent Management,preproduction,1.5,79,19,urn:uuid:79b9e4a1-d6cb-4774-bf6b-81863847c76a,2026-08-17T17:33:15Z
APP-0026_production_cyclonedx.json,APP-0026,Consent Management,production,1.5,75,30,urn:uuid:fa4c47dc-abe8-48ac-8591-f713eecc02c6,2026-08-18T17:33:15Z
APP-0027_preproduction_cyclonedx.json,APP-0027,Archive Service,preproduction,1.5,75,17,urn:uuid:02149960-92cd-458e-8a3e-f4dba10cc330,2026-08-13T17:33:15Z
APP-0027_production_cyclonedx.json,APP-0027,Archive Service,production,1.5,59,20,urn:uuid:26a19e11-5b19-4f3c-be0f-3ef278759fcb,2026-08-25T17:33:15Z
APP-0028_preproduction_cyclonedx.json,APP-0028,Marketing Automation,preproduction,1.5,58,10,urn:uuid:8be8e05b-3533-44c3-9f87-19d54c87cd75,2026-08-22T17:33:15Z
APP-0028_production_cyclonedx.json,APP-0028,Marketing Automation,production,1.5,61,23,urn:uuid:466b2fca-62df-4d5f-82c7-4ee4a16234ae,2026-08-15T17:33:15Z
APP-0029_preproduction_cyclonedx.json,APP-0029,Loan Origination,preproduction,1.5,67,20,urn:uuid:92c84faf-09a8-4d9b-97fa-4c53fdd124e0,2026-08-20T17:33:15Z
APP-0029_production_cyclonedx.json,APP-0029,Loan Origination,production,1.5,62,26,urn:uuid:30241216-6817-4a31-b34a-9b61eb677102,2026-08-17T17:33:15Z
APP-0030_preproduction_cyclonedx.json,APP-0030,Card Authorization,preproduction,1.5,51,16,urn:uuid:c24918f9-3131-4159-a795-ccf49087c98c,2026-08-25T17:33:15Z
APP-0030_production_cyclonedx.json,APP-0030,Card Authorization,production,1.5,56,14,urn:uuid:a036d54b-c7ac-43a9-a2e7-46d1da22f6fb,2026-08-23T17:33:15Z
