file,application_id,application_name,application_version,spec_version,logical_components,nested_artifacts,services,sha256
sbom/APP-0016_Reporting-Reglementaire_concertdef-2.0.0.json,APP-0016,Reporting-Reglementaire,2.4.6,2.0.0,2,14,2,370f11cff8eee07a5db3a27cf9d5f31af0218dda23af6407cbf4d0b4f30533e3
sbom/APP-0017_Open-Banking-API_concertdef-2.0.0.json,APP-0017,Open-Banking-API,2.5.7,2.0.0,2,14,2,617001bba5088a3ef031477d5350ebf600919a28e94e35f860ced868115ffddf
sbom/APP-0018_Batch-Reconciliation_concertdef-2.0.0.json,APP-0018,Batch-Reconciliation,2.0.8,2.0.0,2,14,2,bbf239c51a14ed684f10879e61cebc3933924144d98e4aa5e0630ba89a286842
sbom/APP-0019_KYC-Service_concertdef-2.0.0.json,APP-0019,KYC-Service,2.1.9,2.0.0,2,14,2,ed313b37a827f5f69710699dda7ce7423e0df4450d9e3fa8df4de884e5004678
sbom/APP-0020_Document-Signature_concertdef-2.0.0.json,APP-0020,Document-Signature,2.2.0,2.0.0,2,14,2,beb893d01f09223576d50dc056405e26152bce777f55b334516e9f816f6eff51
sbom/APP-0021_Claims-Portal_concertdef-2.0.0.json,APP-0021,Claims-Portal,2.3.1,2.0.0,2,14,2,be71970eee93151edea4e2e3de1b8c03e9c13a3e41fe9e054d1e87f9061402d9
sbom/APP-0022_Partner-Gateway_concertdef-2.0.0.json,APP-0022,Partner-Gateway,2.4.2,2.0.0,2,14,2,2f882f6876a73828d84ec3e31b0419c2dad46dc72645d45cdf7272c6c763213e
sbom/APP-0023_Treasury_concertdef-2.0.0.json,APP-0023,Treasury,2.5.3,2.0.0,2,14,2,83ec686b73ecf2a0b51d9307f29aeefed4d8eda3dd45fa48cf41a6b3a7fd892f
sbom/APP-0024_Risk-Engine_concertdef-2.0.0.json,APP-0024,Risk-Engine,2.0.4,2.0.0,2,14,2,2c2617040f91e29ffcd44224b4c7c49a1955d19339c2908fa3a803319a444eaf
sbom/APP-0025_Customer-360_concertdef-2.0.0.json,APP-0025,Customer-360,2.1.5,2.0.0,2,14,2,48af2a64fb1c18958ecbf0dd79dda6fb5123bc33c75f785dda3b8a2b53a751ea
sbom/APP-0026_Consent-Management_concertdef-2.0.0.json,APP-0026,Consent-Management,2.2.6,2.0.0,2,14,2,c64ed82fa1fe95f3c6f112999812cbf02b0335e4e128924e4559d61896c3b4d7
sbom/APP-0027_Archive-Service_concertdef-2.0.0.json,APP-0027,Archive-Service,2.3.7,2.0.0,2,14,2,38d9c74086353304c550fe6609dd57c2b3fe2d1e4fbe5df109b1fdd4c011af13
sbom/APP-0028_Marketing-Automation_concertdef-2.0.0.json,APP-0028,Marketing-Automation,2.4.8,2.0.0,2,14,2,21721901046e17a79e7566dbfd571608a2f5700fac9aa9855484fd9014288b5c
sbom/APP-0029_Loan-Origination_concertdef-2.0.0.json,APP-0029,Loan-Origination,2.5.9,2.0.0,2,14,2,f491075ac043041a3b1db91c5c14eb062e45592bb149433a2787b4f66cde4ed9
sbom/APP-0030_Card-Authorization_concertdef-2.0.0.json,APP-0030,Card-Authorization,2.0.0,2.0.0,2,14,2,fc9f4387529a289d896c0cc7d0cd5fff768f0d9d8d4c33390d5ffcdb0b2b7599
