file,application_id,base_application_name,concert_application_name,environment,application_version,spec_version,logical_components,nested_artifacts,services,sha256
sbom/APP-0006_CRM-Conseillers_preproduction_concertdef-2.0.0.json,APP-0006,CRM-Conseillers,CRM-Conseillers-preproduction,preproduction,2.0.6-preproduction,2.0.0,2,14,2,063d476012cc2333910d3a1dad2f71df33736f5f503390127d4a3d094f044e57
sbom/APP-0006_CRM-Conseillers_production_concertdef-2.0.0.json,APP-0006,CRM-Conseillers,CRM-Conseillers-production,production,2.0.6-production,2.0.0,2,14,2,0a108945c8883e94ea6e42a448587ceceffab54994bface4aff09074c532296d
sbom/APP-0007_Facturation_preproduction_concertdef-2.0.0.json,APP-0007,Facturation,Facturation-preproduction,preproduction,2.1.7-preproduction,2.0.0,2,14,2,dacc82520bf042ddcf9dc07349392d668490f23307970ff19c5ab8b9b57e2583
sbom/APP-0007_Facturation_production_concertdef-2.0.0.json,APP-0007,Facturation,Facturation-production,production,2.1.7-production,2.0.0,2,14,2,ccf7c3fcde05ddce3319bed31ec6b8c0ffe6a8872d771bd1dc42f4fa8a8bec9b
sbom/APP-0008_Data-Hub_preproduction_concertdef-2.0.0.json,APP-0008,Data-Hub,Data-Hub-preproduction,preproduction,2.2.8-preproduction,2.0.0,2,14,2,c906d5af6a075f42edb1355d3fbfbdc1a70ccd3dbe8104500a3fcfc2c0adba74
sbom/APP-0008_Data-Hub_production_concertdef-2.0.0.json,APP-0008,Data-Hub,Data-Hub-production,production,2.2.8-production,2.0.0,2,14,2,149b5c89fc472742c786d16cc55fc5c31aabaf26c25401e20219432224aa42ac
sbom/APP-0009_IAM-Gateway_preproduction_concertdef-2.0.0.json,APP-0009,IAM-Gateway,IAM-Gateway-preproduction,preproduction,2.3.9-preproduction,2.0.0,2,14,2,be95dabe6b423c28dc251139dbdb8452f5cf3c937935919f949adda5c147a79e
sbom/APP-0009_IAM-Gateway_production_concertdef-2.0.0.json,APP-0009,IAM-Gateway,IAM-Gateway-production,production,2.3.9-production,2.0.0,2,14,2,4515f3a55fd6964418afaa6147256012277417bfbf70c5c4b7f593c839227795
sbom/APP-0010_GED_preproduction_concertdef-2.0.0.json,APP-0010,GED,GED-preproduction,preproduction,2.4.0-preproduction,2.0.0,2,14,2,4f403800b659e3ee987d04875895a77933174bcfea7ae758cb91b1333f51dcea
sbom/APP-0010_GED_production_concertdef-2.0.0.json,APP-0010,GED,GED-production,production,2.4.0-production,2.0.0,2,14,2,28d23c5e383fdd26ec23dfe29af077f681a79ba1a2da62b5923345fa72208759
sbom/APP-0011_Notification-Service_preproduction_concertdef-2.0.0.json,APP-0011,Notification-Service,Notification-Service-preproduction,preproduction,2.5.1-preproduction,2.0.0,2,14,2,869c8ea57903ec2f48358ce05c3bd3d572b4bb4306306b3f53fcf0e73d6bb5b0
sbom/APP-0011_Notification-Service_production_concertdef-2.0.0.json,APP-0011,Notification-Service,Notification-Service-production,production,2.5.1-production,2.0.0,2,14,2,e208a4e05b79f1ba6f8d34daf7db6449d5733bf947a053f3a006e3e787316aee
sbom/APP-0012_Tarification_preproduction_concertdef-2.0.0.json,APP-0012,Tarification,Tarification-preproduction,preproduction,2.0.2-preproduction,2.0.0,2,14,2,8ebe557f851afcc48d42d29d9d3ee17b52270c9f439b1d0b2d0d0e142ccb9b07
sbom/APP-0012_Tarification_production_concertdef-2.0.0.json,APP-0012,Tarification,Tarification-production,production,2.0.2-production,2.0.0,2,14,2,7754b50cd15dfdea8244b662550ff201a3779a4d2223f1df64f3e33024bcbb08
sbom/APP-0013_Fraude-Temps-Reel_preproduction_concertdef-2.0.0.json,APP-0013,Fraude-Temps-Reel,Fraude-Temps-Reel-preproduction,preproduction,2.1.3-preproduction,2.0.0,2,14,2,49fdda342711bdb1cf498b9f7be9f4285c9fe3813e3301526b3777ade67b8d22
sbom/APP-0013_Fraude-Temps-Reel_production_concertdef-2.0.0.json,APP-0013,Fraude-Temps-Reel,Fraude-Temps-Reel-production,production,2.1.3-production,2.0.0,2,14,2,65c3bd1534d962c96d82c745cfc701f860982dd1b2e9f961361629a9ba3e82f9
sbom/APP-0014_Referentiel-Client_preproduction_concertdef-2.0.0.json,APP-0014,Referentiel-Client,Referentiel-Client-preproduction,preproduction,2.2.4-preproduction,2.0.0,2,14,2,c2b21d6c8d012bf3c053de22f47341df3338825a22dbd7588481c907f693473d
sbom/APP-0014_Referentiel-Client_production_concertdef-2.0.0.json,APP-0014,Referentiel-Client,Referentiel-Client-production,production,2.2.4-production,2.0.0,2,14,2,9ff509aebf2076860ef5a7777d5176c372e5b14d5951635493495436a6c1c718
sbom/APP-0015_Comptabilite_preproduction_concertdef-2.0.0.json,APP-0015,Comptabilite,Comptabilite-preproduction,preproduction,2.3.5-preproduction,2.0.0,2,14,2,5da6b438fb2f033d31372a3427b99890f91816e0eebd98bce1a2d860742ab8c5
sbom/APP-0015_Comptabilite_production_concertdef-2.0.0.json,APP-0015,Comptabilite,Comptabilite-production,production,2.3.5-production,2.0.0,2,14,2,f712a8e4e25ddf1631bf0a1a347ac551f79f9f2a3b0a34355f698946e9da8a32
sbom/APP-0016_Reporting-Reglementaire_preproduction_concertdef-2.0.0.json,APP-0016,Reporting-Reglementaire,Reporting-Reglementaire-preproduction,preproduction,2.4.6-preproduction,2.0.0,2,14,2,b1d453755924dfb0bacda4fdd01537932d39540aa1ca7ff8daa25405c63347a6
sbom/APP-0016_Reporting-Reglementaire_production_concertdef-2.0.0.json,APP-0016,Reporting-Reglementaire,Reporting-Reglementaire-production,production,2.4.6-production,2.0.0,2,14,2,05b4e315ad77c7c56b5327de50a8605b4fb5478d85f716978ad761c2c7351bcb
sbom/APP-0017_Open-Banking-API_preproduction_concertdef-2.0.0.json,APP-0017,Open-Banking-API,Open-Banking-API-preproduction,preproduction,2.5.7-preproduction,2.0.0,2,14,2,d416f0b696bc7015b6d458b2f6f8f6fa46c44af8d227e496ab429a3e53ad9047
sbom/APP-0017_Open-Banking-API_production_concertdef-2.0.0.json,APP-0017,Open-Banking-API,Open-Banking-API-production,production,2.5.7-production,2.0.0,2,14,2,073256b2b306b79a959fb7ba14a1a9a69971e36ea644a0059610054fd4dc6f4e
sbom/APP-0018_Batch-Reconciliation_preproduction_concertdef-2.0.0.json,APP-0018,Batch-Reconciliation,Batch-Reconciliation-preproduction,preproduction,2.0.8-preproduction,2.0.0,2,14,2,0c79ac339022321b08e533bc078ffb0bc7cdbda803a888fcc2b63f1bf770fa23
sbom/APP-0018_Batch-Reconciliation_production_concertdef-2.0.0.json,APP-0018,Batch-Reconciliation,Batch-Reconciliation-production,production,2.0.8-production,2.0.0,2,14,2,caa3982782b1f4abfbd8a537b3de71509822c8279de53dd8ee4ebdf8eeb3fafd
sbom/APP-0019_KYC-Service_preproduction_concertdef-2.0.0.json,APP-0019,KYC-Service,KYC-Service-preproduction,preproduction,2.1.9-preproduction,2.0.0,2,14,2,d2d0413904bace5df71c3df6f607a377a80b78ef301f49891c2a753de6b94487
sbom/APP-0019_KYC-Service_production_concertdef-2.0.0.json,APP-0019,KYC-Service,KYC-Service-production,production,2.1.9-production,2.0.0,2,14,2,855443b0a8f4718509697aea11bef788f5ed734739e9b57f10cb951471877a19
sbom/APP-0020_Document-Signature_preproduction_concertdef-2.0.0.json,APP-0020,Document-Signature,Document-Signature-preproduction,preproduction,2.2.0-preproduction,2.0.0,2,14,2,92992a04c5c6d851e6354d30e2e60abc399065b2997249fb88d1e4e95634d308
sbom/APP-0020_Document-Signature_production_concertdef-2.0.0.json,APP-0020,Document-Signature,Document-Signature-production,production,2.2.0-production,2.0.0,2,14,2,51e05dfe5d33aada6c2fefa36efc2e5dd64301d701ab9c4e40f70cb70e48a591
sbom/APP-0021_Claims-Portal_preproduction_concertdef-2.0.0.json,APP-0021,Claims-Portal,Claims-Portal-preproduction,preproduction,2.3.1-preproduction,2.0.0,2,14,2,cc7199300b69f8e7779736200a8d637c264fdc20f4e53d585e5d93807f8221c7
sbom/APP-0021_Claims-Portal_production_concertdef-2.0.0.json,APP-0021,Claims-Portal,Claims-Portal-production,production,2.3.1-production,2.0.0,2,14,2,a72d9c125a5989587f59a9f60aebd8c6caf2ebfabe88fbb3426ebe5296d3df7d
sbom/APP-0022_Partner-Gateway_preproduction_concertdef-2.0.0.json,APP-0022,Partner-Gateway,Partner-Gateway-preproduction,preproduction,2.4.2-preproduction,2.0.0,2,14,2,5493425ec4db8a944c4766a83f1f8b1894de169eca176999af616da9233be719
sbom/APP-0022_Partner-Gateway_production_concertdef-2.0.0.json,APP-0022,Partner-Gateway,Partner-Gateway-production,production,2.4.2-production,2.0.0,2,14,2,0884e289f2702cd7f2acc8d1fdbd86387c61fc2380210e0c7ca132d96311c2b3
sbom/APP-0023_Treasury_preproduction_concertdef-2.0.0.json,APP-0023,Treasury,Treasury-preproduction,preproduction,2.5.3-preproduction,2.0.0,2,14,2,3f39ba5eb3fc27011f0ad6fda43756fc514363a4bdc6328745de9e9629eeb886
sbom/APP-0023_Treasury_production_concertdef-2.0.0.json,APP-0023,Treasury,Treasury-production,production,2.5.3-production,2.0.0,2,14,2,74a24ca16e584dd1faf64a8b318734aa8c45b7070077bf09867b016f4060c39c
sbom/APP-0024_Risk-Engine_preproduction_concertdef-2.0.0.json,APP-0024,Risk-Engine,Risk-Engine-preproduction,preproduction,2.0.4-preproduction,2.0.0,2,14,2,8caf2482a55097c4cfcdfce0fe84600896d0f9e85aaca353380a91c240ca0b86
sbom/APP-0024_Risk-Engine_production_concertdef-2.0.0.json,APP-0024,Risk-Engine,Risk-Engine-production,production,2.0.4-production,2.0.0,2,14,2,317563a51c71f02655c60bf0070b1b9f3c911fb8f2cf4cf2c27f67a4e4ec398c
sbom/APP-0025_Customer-360_preproduction_concertdef-2.0.0.json,APP-0025,Customer-360,Customer-360-preproduction,preproduction,2.1.5-preproduction,2.0.0,2,14,2,317e74975d7184779506f7cfc5c04228326fd0d4cce6b3c9cbce2d00adfb6190
sbom/APP-0025_Customer-360_production_concertdef-2.0.0.json,APP-0025,Customer-360,Customer-360-production,production,2.1.5-production,2.0.0,2,14,2,4fa71dab345e5cfcb02aebcf2816c360eeb5ddaf5146dd5f72e1200f31fe70c0
sbom/APP-0026_Consent-Management_preproduction_concertdef-2.0.0.json,APP-0026,Consent-Management,Consent-Management-preproduction,preproduction,2.2.6-preproduction,2.0.0,2,14,2,560622a5de1f5c2c94e1feb6d7166971277714a3cde476a5b645c8716a4c01b8
sbom/APP-0026_Consent-Management_production_concertdef-2.0.0.json,APP-0026,Consent-Management,Consent-Management-production,production,2.2.6-production,2.0.0,2,14,2,e5acb748df7085898aec1d7e8caba338933abf896509722dd6ef3ce56c09d5e5
sbom/APP-0027_Archive-Service_preproduction_concertdef-2.0.0.json,APP-0027,Archive-Service,Archive-Service-preproduction,preproduction,2.3.7-preproduction,2.0.0,2,14,2,8c7e04f2f43f23e99631592bef5707014f63d227c1df8f81868a65bc5f7ce69b
sbom/APP-0027_Archive-Service_production_concertdef-2.0.0.json,APP-0027,Archive-Service,Archive-Service-production,production,2.3.7-production,2.0.0,2,14,2,60b853dae60f1c358ddfc5cbf212a966afce1dedfca1abca966b3b8b67e4723a
sbom/APP-0028_Marketing-Automation_preproduction_concertdef-2.0.0.json,APP-0028,Marketing-Automation,Marketing-Automation-preproduction,preproduction,2.4.8-preproduction,2.0.0,2,14,2,2f918c0485b9ac5b02350834d473e04594e8b350f3a1ace8bb251db595178687
sbom/APP-0028_Marketing-Automation_production_concertdef-2.0.0.json,APP-0028,Marketing-Automation,Marketing-Automation-production,production,2.4.8-production,2.0.0,2,14,2,3e0d4fb9695e70688b4fbefc86e0d4ef1b02a111711196a29570f8e47c08308f
sbom/APP-0029_Loan-Origination_preproduction_concertdef-2.0.0.json,APP-0029,Loan-Origination,Loan-Origination-preproduction,preproduction,2.5.9-preproduction,2.0.0,2,14,2,7c0f1151bdf05261c312d955a72963cbdf38b236ff24c6457b920134b8bf2065
sbom/APP-0029_Loan-Origination_production_concertdef-2.0.0.json,APP-0029,Loan-Origination,Loan-Origination-production,production,2.5.9-production,2.0.0,2,14,2,089f093616c2439de71476139fdf4ea9f193f60d09f43f6b976ea6b4d389081b
sbom/APP-0030_Card-Authorization_preproduction_concertdef-2.0.0.json,APP-0030,Card-Authorization,Card-Authorization-preproduction,preproduction,2.0.0-preproduction,2.0.0,2,14,2,87c0ddec22f6cf9f7a05d7c82f11c2e29568bf0b9625a7f38f52441bbdf52953
sbom/APP-0030_Card-Authorization_production_concertdef-2.0.0.json,APP-0030,Card-Authorization,Card-Authorization-production,production,2.0.0-production,2.0.0,2,14,2,88b9adab547c936248b112f3ab8795800bf5ff8ef1a077a5203cf9864fdbd5fe
